Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"Healthcare Solutions Team, LLC",IL,Business Associate,675,4/19/2011,Unauthorized Access/Disclosure,Other,Yes
Community Action partnership of Natrona County,WY,Healthcare Provider,15000,4/20/2011,Theft,Desktop Computer,No
"Keith & Fisher, DDS, PA",NC,Healthcare Provider,6000,4/21/2011,Hacking/IT Incident,Network Server,No
Genesis Clinical Laboratory,IL,Healthcare Provider,1070,4/25/2011,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
MacNeal Hospital,IL,Healthcare Provider,845,4/25/2011,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
West Lake Hospital ,IL,Healthcare Provider,686,4/25/2011,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
Phoenix Health Plan,AZ,Health Plan,9393,4/25/2011,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
MacNeal Physician Group,IL,Healthcare Provider,532,4/25/2011,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
Knox Community Hospital,OH,Healthcare Provider,500,4/28/2011,Improper Disposal,Other,No
Speare Memorial Hospital,NH,Healthcare Provider,5960,5/2/2011,Theft,Laptop,No
Methodist Charlton Medical Center,TX,Healthcare Provider,1500,5/5/2011,Theft,Laptop,No
Reid Hospital & Health Care Services,IN,Healthcare Provider,22001,5/6/2011,Theft,Laptop,No
Drs Edalji and Komer,MA,Healthcare Provider,563,5/6/2011,Theft,Laptop,No
PMC Medicare Choice,PR,Health Plan,24361,5/9/2011,Theft,Desktop Computer,No
Union Security Insurance Company,MO,Health Plan,850,5/9/2011,Unauthorized Access/Disclosure,Other,No
Indiana Regional Medical Center,PA,Healthcare Provider,1388,5/9/2011,Theft,Paper/Films,No
"MMM Healthcare, Inc.",,Healthcare Provider,32390,5/9/2011,Theft,Desktop Computer,No
CENTER FOR ARTHRITIS & RHEUMATIC DISEASES,FL,Healthcare Provider,8000,5/11/2011,Theft,"Other, Paper/Films",No
CVS CAREMARK,AZ,Healthcare Provider,654,5/11/2011,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
"Robert B. Miller, MD",CA,Healthcare Provider,620,5/17/2011,Theft,Laptop,No
St. Mary's Hospital for Children,NY,Business Associate,550,5/19/2011,Theft,Paper/Films,Yes
Imaging Center of Garland,TX,Healthcare Provider,1031,5/19/2011,Improper Disposal,Other,No
"Cahaba Government Benefit Administrators, LLC",AL,Business Associate,13412,5/25/2011,Unauthorized Access/Disclosure,Paper/Films,Yes
Agent Benefits Corporation,MI,Business Associate,11387,5/26/2011,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,Yes
VA Caribbean Healthcare System,PR,Healthcare Provider,6006,5/26/2011,Theft,Paper/Films,No
Spartanburg Regional Healthcare System,SC,Healthcare Provider,400000,5/27/2011,Theft,Desktop Computer,No
Saint Joseph - Berea,KY,Healthcare Provider,1986,6/2/2011,"Loss, Theft","Other, Other Portable Electronic Device",No
Navos,WA,Health Plan,2700,6/8/2011,Unknown,Paper/Films,No
Lower Umpqua Hospital,OR,Business Associate,17000,6/8/2011,Theft,"Other, Other Portable Electronic Device",Yes
"Metropolitan Community Health Services, Inc.",NC,Healthcare Provider,1263,6/9/2011,Unknown,Email,No
"FOOTHILLS NEPHROLOGY, PC",SC,Healthcare Provider,1280,6/9/2011,Theft,"Other, Other Portable Electronic Device",No
TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,Healthcare Provider,2000,6/9/2011,"Improper Disposal, Loss",Paper/Films,No
Fidelity National Technology Imaging (FNTI),CA,Business Associate,1192,6/10/2011,Loss,Paper/Films,Yes
HealthCare Partners,CA,Healthcare Provider,15677,6/16/2011,Theft,Desktop Computer,No
New River Health Association,WV,Healthcare Provider,950,6/16/2011,Unauthorized Access/Disclosure,Paper/Films,No
"Gene S. J. Liaw, MD. PS",WA,Healthcare Provider,1105,6/17/2011,Theft,"Other, Other Portable Electronic Device",No
Blue Cross and Blue Shield of Florida ,FL,Health Plan,3463,6/17/2011,Unauthorized Access/Disclosure,Other,No
"Advanced Diagnostic Imaging, P.C.",TN,Healthcare Provider,705,6/22/2011,Theft,Laptop,No
"NOL, LLC d/b/a Premier Radiology",TN,Healthcare Provider,810,6/22/2011,Theft,Laptop,No
University of Missouri Health Care,MO,Healthcare Provider,1288,6/23/2011,Unknown,Paper/Films,No
"Area Agency on Aging, Ohio District 5",OH,Business Associate,78042,6/27/2011,Theft,Laptop,Yes
"Gail Gillespie and Associates, LLC",LA,Healthcare Provider,2000,6/28/2011,Theft,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device",No
Health Plan of San Mateo,CA,Health Plan,694,6/29/2011,Unauthorized Access/Disclosure,Paper/Films,No
Department of Personnel and Administration,CO,Business Associate,3589,6/29/2011,Theft,Other,Yes
Yanez Dental Corporation,CA,Healthcare Provider,10190,7/4/2011,Theft,"Desktop Computer, Network Server",No
Jackson Health System,FL,Healthcare Provider,1562,7/8/2011,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No
Troy Regional Medical Center,AL,Healthcare Provider,880,7/8/2011,Unauthorized Access/Disclosure,Paper/Films,No
The Mount Sinai Hospital,NY,Healthcare Provider,712,7/8/2011,Theft,Laptop,No
Lansing Community College,MI,,5000,7/11/2011,Hacking/IT Incident,Network Server,Yes
Dr Axel Velez,PR,Healthcare Provider,2800,7/13/2011,Theft,Desktop Computer,No
"DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",GA,Healthcare Provider,7500,7/15/2011,Theft,Paper/Films,No
Memorial Health Systems,CO,,,7/15/2011,,,No
Beth Israel Deaconess Medical Center,MA,Healthcare Provider,2021,7/19/2011,Hacking/IT Incident,Network Server,No
"Assurecare Risk Management, Inc.",IL,Business Associate,25330,7/21/2011,Unauthorized Access/Disclosure,Network Server,Yes
Windsor Health Plan,TN,,1378,7/22/2011,Unauthorized Access/Disclosure,Paper/Films,Yes
"Andersen Air Force Base, Guam",VA,Healthcare Provider,700,7/22/2011,Improper Disposal,Paper/Films,No
"RxAmerica, a subsidiary of CVS Caremark",TX,Business Associate,4573,7/22/2011,Unauthorized Access/Disclosure,Paper/Films,Yes
"Austin Center for Therapy and Assessment, LLC",TX,Healthcare Provider,1870,7/28/2011,Theft,Laptop,No
Health Care Service Corporation,IL,Health Plan,501,7/28/2011,Theft,Paper/Films,No
University of Kentucky - UK HealthCare,KY,Healthcare Provider,3604,7/28/2011,Theft,Laptop,No
Treatment Services Northwest,OR,Healthcare Provider,1200,7/29/2011,Theft,Desktop Computer,No
Mills-Peninsula Health Services,CA,Healthcare Provider,1500,7/29/2011,Unauthorized Access/Disclosure,Paper/Films,No
Brigham and Women's Hospital and Faulkner Hospital ,MA,Healthcare Provider,638,8/3/2011,Theft,Other Portable Electronic Device,No
"Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan",IN,,506,8/8/2011,Hacking/IT Incident,Network Server,Yes
Med Assets,NJ,Business Associate,8795,8/8/2011,Theft,"Other, Other Portable Electronic Device",Yes
Washington State Department of Social and Health Services,WA,Health Plan,3950,8/9/2011,Unauthorized Access/Disclosure,Paper/Films,No
The Neurological Institute of Savannah & Center for Spine,GA,Healthcare Provider,63425,8/15/2011,Theft,"Other, Other Portable Electronic Device",No
Accuprint ,PR,Business Associate,5848,8/15/2011,Theft,Other,Yes
Texas Health Partners,TX,Business Associate,10345,8/17/2011,Theft,Laptop,Yes
Capron Rescue Squad District,IL,Healthcare Provider,815,8/18/2011,Unauthorized Access/Disclosure,Laptop,No
MedAssets,NJ,Business Associate,32008,8/18/2011,Theft,"Other, Other Portable Electronic Device",Yes
Lexington VAMC,KY,Healthcare Provider,1432,8/25/2011,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",No
"SpaMed Solutions, LLC, Edward McMenamin President,",NJ,Business Associate,3000,8/28/2011,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device, Paper/Films",Yes
"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER",IL,Healthcare Provider,2000,8/29/2011,Theft,"Desktop Computer, Network Server",No
"Multi-Speciality Collection Services, LLC",CA,Business Associate,19651,8/29/2011,Unauthorized Access/Disclosure,Other,Yes
NEA Baptist Clinic,AR,Healthcare Provider,3116,9/7/2011,Hacking/IT Incident,Network Server,No
"Muir Orthopaedic Specialists, A Medical Group Inc.",CA,Healthcare Provider,1800,9/7/2011,Theft,Paper/Films,No
Jonathan Noel MD,IN,Healthcare Provider,2059,9/8/2011,Theft,"Other, Other Portable Electronic Device",No
Texas Health and Human Services Commission,TX,Health Plan,1696,9/9/2011,Theft,Laptop,No
Living Healthy Community Clinic,WI,Business Associate,3000,9/13/2011,Hacking/IT Incident,Desktop Computer,Yes
Centro de Ortodoncia Inc.,PR,Healthcare Provider,2000,9/13/2011,Theft,Paper/Films,No
"John T. Melvin, M.D.& Associates",TX,Healthcare Provider,2541,9/14/2011,Theft,Paper/Films,No
"Diversified Resources, Inc.",GA,Healthcare Provider,863,9/15/2011,Theft,Laptop,No
Freda J Bowman  MD PA,TX,Healthcare Provider,1300,9/20/2011,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
VA Gulf Coast Veterans Health Care System,MS,Healthcare Provider,1797,9/20/2011,Theft,Paper/Films,No
"Bonney Lake Medical Center and Mythili R. Ramachandran, MD",WA,Healthcare Provider,2367,9/21/2011,Theft,"Desktop Computer, Laptop",No
"Benefits Administration Services, Inc.",VA,Business Associate,4000,9/22/2011,Loss,"Other, Other Portable Electronic Device",Yes
"AllOne Health Management Solutions, Inc.",PA,Business Associate,507,9/23/2011,"Theft, Unauthorized Access/Disclosure","Laptop, Paper/Films",Yes
VA Illiana Health Care System,IL,Healthcare Provider,518,9/23/2011,Loss,Paper/Films,No
Health Texas Provider Network,TX,Healthcare Provider,1259,9/23/2011,Theft,Laptop,No
NYU Hospital for Joint Diseases Inventory Management Department,NY,Healthcare Provider,2600,9/26/2011,Theft,Paper/Films,No
Fairview Health Services,MN,Healthcare Provider,14623,9/27/2011,Theft,Laptop,No
North Memorial Health Care,MN,Healthcare Provider,9497,9/27/2011,Theft,Laptop,No
"Summit Medical Group, PLLC",TN,Healthcare Provider,731,9/28/2011,Theft,Paper/Films,No
FIRST PRIORITY LIFE INSURANCE COMPANY,PA,Business Associate,579,9/28/2011,"Theft, Unauthorized Access/Disclosure",Paper/Films,Yes
MAPFRE Life,,,2209,9/29/2011,Theft,Other,No
Henry Ford Health System,MI,Healthcare Provider,520,10/3/2011,Theft,Desktop Computer,No
Futurity First Insurance Group,CT,Business Associate,1631,10/3/2011,Loss,"Other, Other Portable Electronic Device",Yes
Indiana University,IN,Healthcare Provider,3266,10/4/2011,Theft,Laptop,No
"Thomas J O'Laughlin, MD",CA,Business Associate,700,10/7/2011,"Theft, Unauthorized Access/Disclosure",Paper/Films,Yes
"Adult & Pediatric Dermatology, PC",MA,Healthcare Provider,2200,10/7/2011,Theft,"Other, Other Portable Electronic Device",No
The Nemours Foundation,FL,Healthcare Provider,1055489,10/7/2011,Loss,Other,No
"InStep Foot Clinic, P.A.",MN,Healthcare Provider,2600,10/11/2011,Theft,"Electronic Medical Record, Laptop",No
Futurity First Insurance Group,CT,Business Associate,3994,10/11/2011,Theft,Other,Yes
Privacy Manager Breach Lahey Clinic,MA,Healthcare Provider,599,10/11/2011,Theft,Laptop,No
Florida Hospital,FL,Healthcare Provider,12784,10/13/2011,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Thomas Jefferson University Hospitals, Inc.",PA,Healthcare Provider,3150,10/14/2011,Theft,Other,No
Lankenau Medical Center,PA,Healthcare Provider,500,10/17/2011,Theft,Other,No
"Spectrum Health Ssytems, Inc.  ",MA,Healthcare Provider,14750,10/20/2011,Theft,Desktop Computer,No
Conway Regional Medical Center,AR,Healthcare Provider,1472,10/21/2011,Loss,Other,No
"HITS Scanning Solutions, Inc.",MO,Business Associate,7059,10/22/2011,Theft,Other,Yes
Stone Oak Urgent Care & Family Practice,TX,Business Associate,6672,10/24/2011,"Loss, Theft",Desktop Computer,Yes
Indiana University School of Optometry,IN,Healthcare Provider,757,10/25/2011,Theft,Network Server,No
"Brevard Emergency Services, P.A.",FL,Healthcare Provider,2200,10/25/2011,Theft,Paper/Films,No
Morris Heights Health Center,NY,Healthcare Provider,927,10/27/2011,Theft,Laptop,No
"Pitney Bowes Management Services, Inc.",CT,Business Associate,1089,10/28/2011,Theft,Desktop Computer,Yes
Thresholds Inc.,MI,Business Associate,1100,10/28/2011,Theft,Paper/Films,Yes
Premier Imaging,NC,Healthcare Provider,551,10/28/2011,Unknown,Paper/Films,No
"Julie A. Kennedy, D.M.D., P.A.",FL,Healthcare Provider,2900,10/31/2011,Theft,Network Server,No
"KCI USA, Inc.",TX,Healthcare Provider,567,10/31/2011,Theft,"Other, Other Portable Electronic Device",No
Lebanon Internal Medicine Associates,PA,Healthcare Provider,55000,11/2/2011,Improper Disposal,Network Server,No
St. Joseph Medical Center,MD,Healthcare Provider,5000,11/3/2011,Theft,"Other, Paper/Films",No
UCLA Health System,CA,,2761,11/4/2011,Theft,"Other, Other Portable Electronic Device",No
Science Applications International Corporation (SA,VA,Business Associate,4900000,11/4/2011,Loss,Other,Yes
Logan County Emergeny Ambulance Service Authority,WV,Healthcare Provider,12563,11/8/2011,"Loss, Theft",Laptop,No
"Amerigroup Community Care of New Mexico, Inc",NM,Health Plan,1537,11/13/2011,Theft,Paper/Films,No
"Mid Continent Credit Services, Inc.",KS,Business Associate,8275,11/14/2011,Theft,Other,Yes
Sutter Medical Foundation,AL,Healthcare Provider,943434,11/17/2011,Theft,Desktop Computer,No
Medcenter One,ND,Healthcare Provider,650,11/17/2011,Theft,Laptop,No
Dallas County Hospital District dba Parkland Health & Hospital System,TX,Healthcare Provider,2464,11/17/2011,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper/Films",No
University of Kentucky UK HealthCare,KY,Healthcare Provider,878,11/23/2011,Loss,Other Portable Electronic Device,No
State of Tennessee Sponsored Group Health Plan,TN,Health Plan,1770,11/28/2011,Unauthorized Access/Disclosure,Paper/Films,No
Cleveland Clinic Florida,FL,Healthcare Provider,772,12/1/2011,Loss,Other,No
"Jay C. Platt, DDS",IN,Healthcare Provider,10705,12/5/2011,Theft,Other,No
Rite Aid Corporation ,PA,Healthcare Provider,2900,12/7/2011,Other,Paper/Films,No
Blue Vantage Group,NY,Business Associate,7226,12/9/2011,Unauthorized Access/Disclosure,Network Server,Yes
Nation Wise Machine Buyers,IL,Business Associate,2000,12/9/2011,Improper Disposal,Paper/Films,Yes
University of Nebraska Medical Center,NE,Healthcare Provider,611,12/9/2011,Theft,Paper/Films,No
Roberts S. Smith M.D. Inc.,GA,Healthcare Provider,17000,12/13/2011,Theft,Laptop,No
"Paul C. Brown, MD, PS",WA,Healthcare Provider,4693,12/15/2011,Theft,Other,No
Molina Healthcare of California,CA,Health Plan,11081,12/17/2011,Other,Paper/Films,No
Aegis Sciences Corporation,TN,Healthcare Provider,2185,12/21/2011,Theft,"Laptop, Other Portable Electronic Device",No
"Soundpath Health, Inc",WA,Health Plan,7581,12/23/2011,Theft,Laptop,No
Concentra Health,TX,Healthcare Provider,870,12/28/2011,Theft,Laptop,No
Sleep HealthCenters LLC,MA,Healthcare Provider,2988,12/28/2011,Theft,Laptop,No
Smile Designs,FL,Healthcare Provider,1670,1/6/2012,Theft,"Desktop Computer, Network Server",No
Alamance Caswell Local Management Entity,NC,Business Associate,50000,1/10/2012,"Other, Unauthorized Access/Disclosure","Email, Network Server",Yes
"CardioNet, Inc",PA,Healthcare Provider,1300,1/10/2012,Theft,Laptop,No
RightNow Technologies,MT,Business Associate,2700,1/11/2012,Unauthorized Access/Disclosure,Other,Yes
"WageWorks, Inc.",CA,Business Associate,1700,1/13/2012,Other,Paper/Films,Yes
Foundation Medical Partners,NH,Healthcare Provider,771,1/16/2012,Theft,Paper/Films,No
Kansas Department on Aging,KS,Healthcare Provider,7757,1/19/2012,Theft,Laptop,No
Delta Dental of California,CA,Health Plan,11646,1/19/2012,Other,Paper/Films,No
Muskogee Regional Medical Center,OK,Health Plan,844,1/20/2012,Loss,Other,No
"ACS, Affiliated Computer Services, Inc., A Xerox Company",VA,Business Associate,1444,1/23/2012,"Other, Unauthorized Access/Disclosure",Paper/Films,Yes
"Oldendorf Medical Services, PLLC",NY,Healthcare Provider,549,1/24/2012,Theft,Laptop,No
St.Vincent Physician Network,IN,Healthcare Provider,1423,1/26/2012,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
Flex Physical Therapy,WA,Healthcare Provider,3100,1/27/2012,Theft,Desktop Computer,No
Metro Community Provider Network,CO,Healthcare Provider,3200,1/27/2012,"Hacking/IT Incident, Other",Email,No
University of Miami ,FL,Healthcare Provider,1219,1/30/2012,Theft,Other Portable Electronic Device,No
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,6678,2/1/2012,Other,Paper/Films,No
"Triumph, LLC",NC,Healthcare Provider,2000,2/1/2012,Theft,Laptop,No
Accretive Health,IL,Business Associate,14000,2/6/2012,Theft,Laptop,Yes
Loma Linda University Medical Center (LLUMC),CA,Healthcare Provider,1366,2/8/2012,Other,Paper/Films,No
"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company",NJ,Business Associate,1700,2/8/2012,Other,Other,Yes
"Medco Health Solutions, Inc.",NJ,Healthcare Provider,1287,2/13/2012,Theft,Paper/Films,No
Lakeview Medical Center,WI,Healthcare Provider,698,2/14/2012,Theft,Laptop,No
"Goshen Health System, Inc.",IN,Healthcare Provider,660,2/14/2012,Hacking/IT Incident,Other,No
St. Joseph Health System,CA,,,2/15/2012,,,No
Georgetown University Hospital,DC,Healthcare Provider,1549,2/15/2012,Unauthorized Access/Disclosure,Paper/Films,No
Motion Picture Industry Health Plans (MPI),CA,Health Plan,703,2/15/2012,Theft,Other,No
Ochsner Health System,LA,Healthcare Provider,2088,2/20/2012,Loss,Other Portable Electronic Device,No
Dr. Trandinh,OR,Business Associate,2300,2/20/2012,"Theft, Unauthorized Access/Disclosure",Laptop,Yes
"CardioNet, Inc.",PA,Healthcare Provider,728,2/27/2012,Theft,Laptop,No
"Beth Barrett Consulting, LLC",NM,Business Associate,7000,2/28/2012,Theft,Laptop,Yes
"Catalyst Health Solutions, Inc.",MD,Business Associate,632,2/28/2012,Unauthorized Access/Disclosure,Other,Yes
"T&P CONSULTING, INC. D/B/A QUANTUM",PR,Business Associate,7706,2/28/2012,Theft,Laptop,Yes
Lee Miller Rehabilitation Associates,MD,Healthcare Provider,10480,2/29/2012,Theft,Network Server,No
"Jeremaih J. Twomey, F.A.C.P., P.A.",TX,Business Associate,2559,3/2/2012,Theft,Other,Yes
Anchorage Community Mental Health Services Inc.,AK,Healthcare Provider,2743,3/3/2012,Unauthorized Access/Disclosure,Desktop Computer,No
Robley Rex VA Medical Center ,KY,Healthcare Provider,1182,3/6/2012,Other,Paper/Films,No
Indiana Internal Medicine Consultants,IN,Healthcare Provider,20000,3/9/2012,Theft,Laptop,No
"T & P Consulting, Inc. d/b/a Quantum Health Consulting",PR,Business Associate,10000,3/12/2012,Theft,"Laptop, Other Portable Electronic Device",Yes
Quantum Health Consulting,PR,Business Associate,4645,3/12/2012,Theft,Laptop,Yes
"T&P Consulting, INC. d/b/a Quantum Health Consulting",PR,Business Associate,27098,3/12/2012,Theft,Laptop,Yes
Kern Medical Center ,CA,Healthcare Provider,1431,3/12/2012,Theft,Paper/Films,No
"William F. DeLuca Jr., M.D.",NY,Healthcare Provider,577,3/13/2012,Theft,Laptop,No
Quantum Health Consulting,PR,Business Associate,7923,3/13/2012,Theft,Laptop,Yes
Advanced Clinical Research Institute,CA,Health Plan,875,3/14/2012,Theft,Paper/Films,No
"T&P Consulting, INC DBA Quantum HC",PR,Business Associate,7606,3/15/2012,Theft,"Laptop, Other Portable Electronic Device",Yes
Georgia Health Sciences University,GA,Healthcare Provider,513,3/15/2012,Theft,Laptop,No
"Baylor Heart and Vascular Center, LLP",TX,Healthcare Provider,1972,3/16/2012,Theft,Other Portable Electronic Device,No
Chicago Muscoskeletal Institute,IL,Healthcare Provider,750,3/23/2012,Unauthorized Access/Disclosure,Network Server,No
"Caremark PCS Health, L.L.C. (formerly known as Caremark PCS Health, L.P.)",IL,Business Associate,3482,3/23/2012,Other,Paper/Films,Yes
Duke University Health System,NC,Healthcare Provider,1370,3/23/2012,Unauthorized Access/Disclosure,Other,No
St. Joseph's Medical Center,CA,Healthcare Provider,712,3/29/2012,Theft,Paper/Films,No
CenterLight Healthcare,NY,Health Plan,642,4/3/2012,Unauthorized Access/Disclosure,Email,No
Lake Granbury Medicl Ceter,TX,Healthcare Provider,502,4/4/2012,Theft,Paper/Films,No
County of Wayne Department of Personnel/Human Resources Benefits Administration Division,MI,Health Plan,1229,4/6/2012,Unauthorized Access/Disclosure,Email,No
St. Elizabeth's Medical Center,MA,Healthcare Provider,6831,4/6/2012,Loss,Paper/Films,No
The Neighborhood Christian Clinic,AZ,Healthcare Provider,9565,4/9/2012,Loss,Other Portable Electronic Device,No
"AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226",CA,Healthcare Provider,1000,4/10/2012,Unauthorized Access/Disclosure,Email,No
HealthLOGIX,MI,Business Associate,555,4/10/2012,Unauthorized Access/Disclosure,Paper/Films,Yes
David Charles Rish,CA,Business Associate,2000,4/10/2012,Theft,Other,Yes
Utah Department of Technology Services,UT,Business Associate,780000,4/11/2012,Hacking/IT Incident,Network Server,Yes
IU Medical Group,IN,Healthcare Provider,1000,4/12/2012,Improper Disposal,Paper/Films,No
Rhinebeck Health Center/Center for Progressive Medicine,NY,Healthcare Provider,6745,4/12/2012,Theft,"Desktop Computer, Network Server",No
Memorial Healthcare System,FL,Health Plan,9497,4/13/2012,Other,Other,No
"Roy E. Gondo, M.D.",WA,Healthcare Provider,2100,4/13/2012,Theft,"Desktop Computer, Electronic Medical Record",No
"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central",TX,Healthcare Provider,1000,4/16/2012,Improper Disposal,Paper/Films,No
Emory Healthcare,GA,Healthcare Provider,315000,4/18/2012,"Other, Unknown",Other,No
Desert AIDS Project,CA,Healthcare Provider,4400,4/20/2012,Theft,Desktop Computer,No
University of Arkansas for Medical Sciences,AR,Healthcare Provider,7121,4/20/2012,Unauthorized Access/Disclosure,Other,No
"TLC Dental Dania, LLC",FL,Healthcare Provider,750,4/23/2012,Theft,Paper/Films,No
South Carolina Department of Health and Human Services,SC,Health Plan,228435,4/24/2012,Unauthorized Access/Disclosure,Email,No
Oregon Health Authority,OR,Healthcare Provider,550,4/26/2012,Theft,Paper/Films,No
SHIELDS For Families ,CA,Healthcare Provider,961,4/26/2012,Theft,Network Server,No
"Safe Ride Services, Inc",AZ,Healthcare Provider,42000,5/1/2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
IntraCare North Hospital,TX,Healthcare Provider,750,5/3/2012,Theft,Paper/Films,No
"Oakland Vision Services, PC",MI,Healthcare Provider,3000,5/3/2012,Hacking/IT Incident,Network Server,No
"Stephen Haggard, DPM Podiatry ",WA,Healthcare Provider,1597,5/4/2012,Theft,Network Server,No
Baptist Health System,AL,Healthcare Provider,1655,5/4/2012,Improper Disposal,Paper/Films,No
University of Houston for UH College of Optometry,TX,Healthcare Provider,7000,5/8/2012,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,No
Rite Aid Store 1343,WV,Healthcare Provider,2905,5/10/2012,Theft,Paper/Films,No
Iowa Department of Human Services,IA,Health Plan,3000,5/11/2012,Improper Disposal,Paper/Films,No
Hogan Services Inc. Health Care Premium Plan,MO,Health Plan,1134,5/11/2012,Unauthorized Access/Disclosure,Email,No
Family Health Services Minnesota PA,MN,Healthcare Provider,4000,5/14/2012,Theft,Laptop,No
St. Mary Medical Center,CA,Healthcare Provider,3900,5/14/2012,Loss,Other Portable Electronic Device,No
Our Lady of the Lake Regional Medical Center,LA,Healthcare Provider,17000,5/18/2012,"Loss, Theft",Laptop,No
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,19100,5/18/2012,Unauthorized Access/Disclosure,Other,No
West Dermatology,CA,Healthcare Provider,1900,5/18/2012,Theft,Other,No
Duke University Health System,NC,Healthcare Provider,591,5/18/2012,Unauthorized Access/Disclosure,Other,No
"Luz Colon, DPM  Podiatry ",FL,Healthcare Provider,1137,5/19/2012,"Loss, Theft",Laptop,No
Ameritas Life Insurance Corp. ,NE,Health Plan,3000,5/21/2012,Theft,Laptop,No
Children's Hospital Boston,MA,Healthcare Provider,2159,5/22/2012,Theft,Laptop,No
"Data Image, Inc.",OH,Business Associate,15000,5/22/2012,Unauthorized Access/Disclosure,Other,Yes
Physician's Automated Laboratory,CA,Healthcare Provider,745,5/23/2012,Theft,Paper/Films,No
"Phoebe Putney Memorial Hospital, Inc. ",GA,Healthcare Provider,12937,5/24/2012,Theft,"Electronic Medical Record, Paper/Films",No
Independence Physical Therapy,CT,Healthcare Provider,925,5/25/2012,Theft,Desktop Computer,No
Titus Regional Medical Center,TX,Healthcare Provider,5700,5/26/2012,Loss,Laptop,No
Titus Regional Medical Center,TX,Healthcare Provider,500,5/26/2012,Theft,Other,No
Lutheran Community Services Northwest,WA,Healthcare Provider,756,5/29/2012,Theft,"Desktop Computer, Other Portable Electronic Device",No
"Volunteer State Health Plan, Inc. ",TN,Health Plan,1102,5/31/2012,Loss,Paper/Films,No
Charlie Norwood VA Medical Center,GA,Healthcare Provider,824,6/4/2012,Loss,Other Portable Electronic Device,No
PrevMED,MD,Business Associate,1444,6/4/2012,Theft,Laptop,Yes
"Metcare of Florida, Inc.",FL,Healthcare Provider,2557,6/4/2012,Theft,Other Portable Electronic Device,No
"Robert Witham, MD, FACP",OR,Healthcare Provider,11136,6/6/2012,Theft,Desktop Computer,No
Memorial Sloan-Kettering Cancer Center,NY,Healthcare Provider,568,6/8/2012,Theft,"Email, Other",No
"Gessler Clinic, P.A.",FL,Healthcare Provider,1409,6/14/2012,Theft,Paper/Films,No
University of Kentucky HealthCare,KY,Healthcare Provider,4490,6/19/2012,Theft,Laptop,No
Wolf & Yun,KY,Healthcare Provider,824,6/22/2012,Theft,Laptop,No
Karen Kietzman,MT,Healthcare Provider,708,6/22/2012,Theft,"Laptop, Other Portable Electronic Device",No
"Bruce G. Peller, DMD, PA",NC,Healthcare Provider,9953,6/25/2012,Unauthorized Access/Disclosure,Desktop Computer,No
"Sharon L. Rogers, Ph.D., ABPP",TX,Healthcare Provider,585,7/3/2012,Theft,Laptop,No
Health Texas Provider Network - Cardiovascular Consultants of North Texas,TX,Healthcare Provider,2462,7/5/2012,Unauthorized Access/Disclosure,Electronic Medical Record,No
SwedishAmerican Health System,IL,Healthcare Provider,1500,7/12/2012,Theft,Paper/Films,No
"Patterson Dental, Inc.",MN,Business Associate,2533,7/13/2012,"Loss, Unauthorized Access/Disclosure, Unknown",Other Portable Electronic Device,Yes
Visiting Nurse Services of Iowa,IA,Healthcare Provider,1298,7/16/2012,Theft,Paper/Films,No
Molalla Family Dental,OR,Healthcare Provider,4354,7/16/2012,"Hacking/IT Incident, Other, Unauthorized Access/Disclosure",Network Server,No
Pamlico Medical Equipment LLC,NC,Healthcare Provider,2917,7/17/2012,Loss,Other Portable Electronic Device,No
Beth Israel Deaconess Medical Center,MA,Healthcare Provider,3900,7/20/2012,Theft,Laptop,No
